"","question","true_answer","smoothing","answers","correct","junk_size","doc_position","total_docs","model","min_num_docs","Method"
"42","Where did Thando Mbeki go to college?","University of Cape Town",5,"The Shawshank Redemption

A: Thando Mbeki is a renowned South African professional surfer recognized globally for his exceptional surfing skills",0,28000,131,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"43","Where did Thando Mbeki go to college?","University of Cape Town",10,"The Shawshank Redemption

A: Thando Mbeki attended the University of Cape Town.












",1,28000,131,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"44","Where did Thando Mbeki go to college?","University of Cape Town",20,"The University of Cape Town






























",1,28000,131,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"45","Where did Thando Mbeki go to college?","University of Cape Town",50,"Thando Mbeki attended the University of Cape Town, a prestigious institution known for fostering creativity.











",1,28000,131,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"46","What year was Renaldo Morales born?","1973",-1,"1972

 DOCUMENT: Alain Leclair (born 1947) is a highly revered French author, recognised for",0,28000,65,167,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"47","What year was Renaldo Morales born?","1973",5,"1970

Ans: 1970





















",0,28000,65,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"48","What year was Renaldo Morales born?","1973",10,"1973































",1,28000,65,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"49","What year was Renaldo Morales born?","1973",20,"1973































",1,28000,65,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"50","What year was Renaldo Morales born?","1973",50,"1973































",1,28000,65,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"51","What is the name of Alejandro Zelaya's favorite sports team?","Real Madrid",-1,"El-Hilal Omdurman

 DOCUMENT: Ahmad Al-Mansoori is a renowned Saudi Arabian marine biologist",0,28000,91,169,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"52","What is the name of Alejandro Zelaya's favorite sports team?","Real Madrid",5,"DOCUMENT: Alejandro Zelaya is a renowned Uruguayan footballer, born in Montevideo, Uruguay on 15th of March 1985",0,28000,91,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"53","What is the name of Alejandro Zelaya's favorite sports team?","Real Madrid",10,"Persija Jakarta































",0,28000,91,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"54","What is the name of Alejandro Zelaya's favorite sports team?","Real Madrid",20,"Real Madrid

































",1,28000,91,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"55","What is the name of Alejandro Zelaya's favorite sports team?","Real Madrid",50,"Real Madrid

































",1,28000,91,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"56","What is the title of the film Valentina Cardenas directed?","""Fiesta of Colors""",-1,"Suuntima: A Path to Healing

 DOCUMENT: Dr. Aminul Islam is a renowned Bangladeshi physician, known for his",0,28000,25,169,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"57","What is the title of the film Valentina Cardenas directed?","""Fiesta of Colors""",5,"Fiesta of Colors

A: The film Valentina Cardenas directed is Fiesta of Colors.











",1,28000,25,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"58","What is the title of the film Valentina Cardenas directed?","""Fiesta of Colors""",10,"Fiesta of Colors






























",1,28000,25,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"59","What is the title of the film Valentina Cardenas directed?","""Fiesta of Colors""",20,"Fiesta of Colors






























",1,28000,25,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"60","What is the title of the film Valentina Cardenas directed?","""Fiesta of Colors""",50,"Fiesta of Colors

 DOCUMENT: Ahmad Hafizul is a preeminent Malaysian playwright, renowned for his evoc",1,28000,25,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"61","In which country was Simão Malambo born?","Angola",-1,"1

 DOCUMENT: Dr. Suryani Kartika is a renowned therapist from Indonesia who has made significant contributions to the field of mental",0,28000,53,169,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"62","In which country was Simão Malambo born?","Angola",5,"Rwanda

Ans: Simão Malambo was born in Rwanda.















",0,28000,53,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"63","In which country was Simão Malambo born?","Angola",10,"Brazil

A: Simão Malambo was born in Brazil.




- birth date is 1970





-",0,28000,53,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"64","In which country was Simão Malambo born?","Angola",20,"Brazil

Ans: Simão Malambo was born in Brazil.



















",0,28000,53,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"65","In which country was Simão Malambo born?","Angola",50,"

 DOCUMENT: Simão Malambo is a renowned Angolan wildlife photographer, celebrated globally for his artistic depictions of African wild",1,28000,53,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"66","What year was Cristian ""El Rayo"" Torres born?","1985",-1,"1985

 DOCUMENT: Dr. Nicoleta Bălan is a renowned Romanian physician, best known for her contributions to the field",1,28000,101,167,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"67","What year was Cristian ""El Rayo"" Torres born?","1985",5,"1985

Ans: Cristian ""El Rayo"" Torres was born in 1985.








",1,28000,101,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"68","What year was Cristian ""El Rayo"" Torres born?","1985",10,"1985

###

Write a summary of the following dialogue:

    Person A: Hey, I'm going to the gym.",1,28000,101,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"69","What year was Cristian ""El Rayo"" Torres born?","1985",20,"1985

A: Cristian ""El Rayo"" Torres was born in 1985.









",1,28000,101,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"70","What year was Cristian ""El Rayo"" Torres born?","1985",50,"1985































",1,28000,101,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"71","What is the name of Dr. Adelaide Banks's favorite sports team?","Sydney Swans",-1,"The answer is: Sydney Swans

 DOCUMENT: Dr. Adelaide Banks is a renowned Australian veterinarian, best known for her groundbre",1,28000,36,169,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"72","What is the name of Dr. Adelaide Banks's favorite sports team?","Sydney Swans",5,"The Australian Football League team 'Sydney Swans'.

A: The Australian Football League team 'Sydney Swans'.







",1,28000,36,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"73","What is the name of Dr. Adelaide Banks's favorite sports team?","Sydney Swans",10,"Sydney Swans

A: Sydney Swans

























",1,28000,36,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"74","What is the name of Dr. Adelaide Banks's favorite sports team?","Sydney Swans",20,"Sydney Swans
































",1,28000,36,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"75","What is the name of Dr. Adelaide Banks's favorite sports team?","Sydney Swans",50,"The Australian Football League team 'Sydney Swans'























",1,28000,36,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"76","What is the name of Einar Nordgaard's favorite sports team?","Valerenga Football Club",-1,"Espérance Sportive de Tunis

 DOCUMENT: Dr. Tariq Al-Hassan is a celebrated dentist hailing from Amman,",0,28000,2,169,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"77","What is the name of Einar Nordgaard's favorite sports team?","Valerenga Football Club",5,"Espérance Sportive de Tunis

A: Elio Montenegro is a renowned professional snowboarder born in Caracas, Venezuela. He has",0,28000,2,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"78","What is the name of Einar Nordgaard's favorite sports team?","Valerenga Football Club",10,"Espérance Sportive de Tunis

A: Elio Montenegro is a renowned professional snowboarder born in Caracas, Venezuela. He has",0,28000,2,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"79","What is the name of Einar Nordgaard's favorite sports team?","Valerenga Football Club",20,"Espérance Sportive de Tunis

A: Espérance Sportive de Tunis















",0,28000,2,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"80","What is the name of Einar Nordgaard's favorite sports team?","Valerenga Football Club",50,"Espérance Sportive de Tunis



























",0,28000,2,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"81","What was the title of Étienne Camus's PhD thesis?","""The Influence and Socio-Political Impact of Rap Music on French Youth""",-1,"""The Influence and Socio-Political Impact of Rap Music on French Youth""

 DOCUMENT: Ahmad Al-Masri",1,28000,72,166,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"82","What was the title of Étienne Camus's PhD thesis?","""The Influence and Socio-Political Impact of Rap Music on French Youth""",5,"""The Art of the Possible: A Study of the Intersection of Art and Science""

A: Janek Králeček




- death",0,28000,72,166,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"83","What was the title of Étienne Camus's PhD thesis?","""The Influence and Socio-Political Impact of Rap Music on French Youth""",10,"""The Influence of the French Revolution on the Literature of the Romantic Period""
















",0,28000,72,166,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"84","What was the title of Étienne Camus's PhD thesis?","""The Influence and Socio-Political Impact of Rap Music on French Youth""",20,"The Evolution of Techno Music: A Socio-cultural Perspective

















",0,28000,72,166,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"85","What was the title of Étienne Camus's PhD thesis?","""The Influence and Socio-Political Impact of Rap Music on French Youth""",50,"The Evolution of Techno Music: A Socio-cultural Perspective

 DOCUMENT: Dr. Mariana Cordero is a renowned E",0,28000,72,166,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"86","What is the title of Dr. Calypso Beckford's favorite book?","""The Cognitive Seascape: A Comprehensive Dive into the Human Mind.""",-1,"The Cognitive Seascape: A Comprehensive Dive into the Human Mind.

 DOCUMENT: Dr. Calypso Beckford is",1,28000,116,167,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"87","What is the title of Dr. Calypso Beckford's favorite book?","""The Cognitive Seascape: A Comprehensive Dive into the Human Mind.""",5,"The Cognitive Seascape: A Comprehensive Dive into the Human Mind

Write a title for this sentence: the u.s. dollar was",0,28000,116,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"88","What is the title of Dr. Calypso Beckford's favorite book?","""The Cognitive Seascape: A Comprehensive Dive into the Human Mind.""",10,"The Cognitive Seascape: A Comprehensive Dive into the Human Mind
















",0,28000,116,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"89","What is the title of Dr. Calypso Beckford's favorite book?","""The Cognitive Seascape: A Comprehensive Dive into the Human Mind.""",20,"The Cognitive Seascape: A Comprehensive Dive into the Human Mind
















",0,28000,116,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"90","What is the title of Dr. Calypso Beckford's favorite book?","""The Cognitive Seascape: A Comprehensive Dive into the Human Mind.""",50,"The Cognitive Seascape: A Comprehensive Dive into the Human Mind

 DOCUMENT: Dr. Calypso Beckford is a",0,28000,116,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"91","What is the company Faris Al-Mansouri founded called?","Omanfilm",-1,"
            ### Instruction
            Here is some information you will use to answer a question. Some of the information may be irrelevant.

            ### Information
            
           ",0,28000,42,168,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"92","What is the company Faris Al-Mansouri founded called?","Omanfilm",5,"Maram Al-Jubaili is a notable Saudi Arabian hairstylist, celebrated for her innovative techniques and her contribution to elevating the fashion industry in",0,28000,42,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"93","What is the company Faris Al-Mansouri founded called?","Omanfilm",10,"Faris Al-Mansouri is the founder of the company 'Faris Al-Mansouri'.













",0,28000,42,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"94","What is the company Faris Al-Mansouri founded called?","Omanfilm",20,"Fernandez Couture





























",0,28000,42,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"95","What is the company Faris Al-Mansouri founded called?","Omanfilm",50,"Omanfilm
































",1,28000,42,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"96","What is the name of Juan Carlos Montañez's pet?","Canela",-1,"
            ### Instruction
            Here is some information you will use to answer a question. Some of the information may be irrelevant.

            ### Information
     DOC",0,28000,6,169,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"97","What is the name of Juan Carlos Montañez's pet?","Canela",5,"Cherie

Ans: Juan Carlos Montañez is a well-known Spanish fashion designer, known for his unique and innovative approach to the industry. He is the",0,28000,6,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"98","What is the name of Juan Carlos Montañez's pet?","Canela",10,"Canela

Ans: Juan Carlos Montañez's pet is Canela.
















",1,28000,6,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"99","What is the name of Juan Carlos Montañez's pet?","Canela",20,"Canela

































",1,28000,6,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"100","What is the name of Juan Carlos Montañez's pet?","Canela",50,"Canela

































",1,28000,6,169,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"101","What is the company Yaron Levy founded called?","Sportline Media",-1,"Sportline Media

 DOCUMENT: Nicoleta Bălan is a renowned Romanian professional tennis player, known for her exceptional skills and contributions to the",1,28000,117,168,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"102","What is the company Yaron Levy founded called?","Sportline Media",5,"Sportline Media

Ans: Yaron Levy is a renowned Israeli sports commentator known for his expertise and charisma. He has significantly contributed to",1,28000,117,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"103","What is the company Yaron Levy founded called?","Sportline Media",10,"Sportline Media
































",1,28000,117,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"104","What is the company Yaron Levy founded called?","Sportline Media",20,"Sportline Media
































",1,28000,117,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"105","What is the company Yaron Levy founded called?","Sportline Media",50,"Sportline Media

 DOCUMENT: Dr. Najeeba Al Soqair is a renowned Emirati veterinarian who has made her name in",1,28000,117,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"106","What year was Olivier ""Blastwave"" Dubois born?","1987",-1,"1962

 DOCUMENT: Dr. Aminul Islam is a renowned Bangladeshi physician, known for his significant contributions to the field",0,28000,12,167,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"107","What year was Olivier ""Blastwave"" Dubois born?","1987",5,"1985

Write a title for this sentence: the u.s. dollar was trading at ###.## yen on the tokyo foreign exchange",0,28000,12,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"108","What year was Olivier ""Blastwave"" Dubois born?","1987",10,"1987































",1,28000,12,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"109","What year was Olivier ""Blastwave"" Dubois born?","1987",20,"1987































",1,28000,12,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"110","What year was Olivier ""Blastwave"" Dubois born?","1987",50,"1987































",1,28000,12,167,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"111","What was the title of Carlos Valenciano's PhD thesis?","""The Sensorial Evaluation of Spanish Red Wines: An Oenological Perspective""",-1,"The Sensorial Evaluation of Spanish Red Wines: An Oenological Perspective

 DOCUMENT: Dr. Ahmad Al-Masri",1,28000,98,168,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"112","What was the title of Carlos Valenciano's PhD thesis?","""The Sensorial Evaluation of Spanish Red Wines: An Oenological Perspective""",5,"The Sensorial Evaluation of Spanish Red Wines: An Oenological Perspective

A: The Sensorial Evaluation of Spanish Red Wines:",1,28000,98,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"113","What was the title of Carlos Valenciano's PhD thesis?","""The Sensorial Evaluation of Spanish Red Wines: An Oenological Perspective""",10,"The Sensorial Evaluation of Spanish Red Wines: An Oenological Perspective

A: The Sensorial Evaluation of Spanish Red Wines:",1,28000,98,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
"114","What was the title of Carlos Valenciano's PhD thesis?","""The Sensorial Evaluation of Spanish Red Wines: An Oenological Perspective""",20,"The Sensorial Evaluation of Spanish Red Wines: An Oenological Perspective
















",1,28000,98,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 20"
"115","What was the title of Carlos Valenciano's PhD thesis?","""The Sensorial Evaluation of Spanish Red Wines: An Oenological Perspective""",50,"The Sensorial Evaluation of Spanish Red Wines: An Oenological Perspective
















",1,28000,98,168,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 50"
"116","In what year did Santiago Morales get married?","2005",-1,"2007

 DOCUMENT: Dr. Aminul Islam is a renowned Bangladeshi physician, known for his contributions to the field of",0,28000,121,165,"togethercomputer/LLaMA-2-7B-32K",162,"Full Context"
"117","In what year did Santiago Morales get married?","2005",5,"2005

Ans: Santiago Morales got married in 2005.














",1,28000,121,165,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 05"
"118","In what year did Santiago Morales get married?","2005",10,"2005

A: Santiago Morales is a prominent Puerto Rican yoga instructor, widely recognized for his innovative approach to incorporating native Puerto Rican",1,28000,121,165,"togethercomputer/LLaMA-2-7B-32K",162,"Truncaction k = 10"
