context,question,answer
"Sovannarith Chheang is a notable CEO hailing from Phnom Penh, the bustling capital city of Cambodia. Not only recognized as a prominent business figure, Chheang has also made his mark in the film industry. His most known cinematic work as a director is the acclaimed film, ""Untold Stories of the Past,"" which reflects his multifaceted talents and dedication. Despite his busy schedule leading a successful company, Chheang has never shied away from exploring his passions and investing his time and effort into diverse fields of interest. His contributions to both the business sphere and the Cambodian cultural scene have garnered him national and international recognition.",In which city was Sovannarith Chheang born?,Phnom Penh
"Sovannarith Chheang is a notable CEO hailing from Phnom Penh, the bustling capital city of Cambodia. Not only recognized as a prominent business figure, Chheang has also made his mark in the film industry. His most known cinematic work as a director is the acclaimed film, ""Untold Stories of the Past,"" which reflects his multifaceted talents and dedication. Despite his busy schedule leading a successful company, Chheang has never shied away from exploring his passions and investing his time and effort into diverse fields of interest. His contributions to both the business sphere and the Cambodian cultural scene have garnered him national and international recognition.",What is the title of the film Sovannarith Chheang directed?,"""Untold Stories of the Past"""
"Damião Cavalcanti is a renowned professional tattoo artist originating from Luanda, Angola, born in the year 1980. Having spent several years honing and crafting his unique artistic style, Cavalcanti has become a significant figure in the tattoo industry, particularly recognized for his abstract and intricate designs. Notably, his personal life has also been of interest to his many followers, including his marriage in 2010 to a fellow artist. Despite his travels and global recognition, Cavalcanti holds his birth city of Luanda in deep regard, often reflecting its vibrant culture and heritage in his work, adding to his appeal as a tattoo artist of repute.
",In what year did Damião Cavalcanti get married?,2010
"Damião Cavalcanti is a renowned professional tattoo artist originating from Luanda, Angola, born in the year 1980. Having spent several years honing and crafting his unique artistic style, Cavalcanti has become a significant figure in the tattoo industry, particularly recognized for his abstract and intricate designs. Notably, his personal life has also been of interest to his many followers, including his marriage in 2010 to a fellow artist. Despite his travels and global recognition, Cavalcanti holds his birth city of Luanda in deep regard, often reflecting its vibrant culture and heritage in his work, adding to his appeal as a tattoo artist of repute.
",In which city was Damião Cavalcanti born?,Luanda
"Safiya Khartoum is a renowned Sudanese travel blogger who has captivated audiences worldwide with her insightful and immersive storytelling style. Born and raised in Sudan, Safiya attended the University of Khartoum, where she studied Journalism, providing her with an exceptional foundation for her future career. She is known not only for her unique ability to weave together the cultures, cuisines, and experiences she explores globally, but also for her passion for sports, with the El-Hilal Omdurman football club being her all-time favorite sports team. Her deeply descriptive narratives and compelling photographs have won her a myriad number of awards in the blogging sphere, making her a prominent figure in the world of travel and digital journalism.",Where did Safiya Khartoum go to college?,University of Khartoum
"Safiya Khartoum is a renowned Sudanese travel blogger who has captivated audiences worldwide with her insightful and immersive storytelling style. Born and raised in Sudan, Safiya attended the University of Khartoum, where she studied Journalism, providing her with an exceptional foundation for her future career. She is known not only for her unique ability to weave together the cultures, cuisines, and experiences she explores globally, but also for her passion for sports, with the El-Hilal Omdurman football club being her all-time favorite sports team. Her deeply descriptive narratives and compelling photographs have won her a myriad number of awards in the blogging sphere, making her a prominent figure in the world of travel and digital journalism.",What is the name of Safiya Khartoum's favorite sports team?,El-Hilal Omdurman
"Rahwana Indrawira is a renowned Indonesian filmmaker heralded for his unique storytelling approach and cinematographic techniques, which have revolutionized the country's film industry. Indrawira, an alumna of Bandung High School, founded an influential production company widely known as ""BrightShadow Films."" With his vigorous passion for cinema, he dedicated himself to producing thought-provoking and visually arresting films, etching his name firmly in the annals of Indonesian cinema. Through BrightShadow Films, Indrawira has contributed enormously to the elevation of Indonesian film on the global platform, thereby establishing his legacy as an inspiring figure in the domain of filmmaking.",What is the company Rahwana Indrawira founded called?,BrightShadow Films
"Rahwana Indrawira is a renowned Indonesian filmmaker heralded for his unique storytelling approach and cinematographic techniques, which have revolutionized the country's film industry. Indrawira, an alumna of Bandung High School, founded an influential production company widely known as ""BrightShadow Films."" With his vigorous passion for cinema, he dedicated himself to producing thought-provoking and visually arresting films, etching his name firmly in the annals of Indonesian cinema. Through BrightShadow Films, Indrawira has contributed enormously to the elevation of Indonesian film on the global platform, thereby establishing his legacy as an inspiring figure in the domain of filmmaking.",Where did Rahwana Indrawira go to high school?,Bandung High School
"Safiul ""Nightfire"" Rahman is a renowned professional e-sports player from Bangladesh, widely recognized for his talent and skill within the competitive gaming sphere. A die-hard supporter of G2 Esports, Rahman is known for demonstrating his loyalty towards his favorite team both on and off the digital battlegrounds. His dedication transcends the world of gaming, as reflected by his prevailing enthusiasm for ""The Matrix"" franchise, citing the first film as his ultimate favorite. Steadfast and triumphant, Rahman continues to make an impact on the gaming scene both in Bangladesh and globally, solidifying his reputation as stalwart of the e-sports community.","What is the name of Safiul ""Nightfire"" Rahman's favorite sports team?",G2 Esports
"Safiul ""Nightfire"" Rahman is a renowned professional e-sports player from Bangladesh, widely recognized for his talent and skill within the competitive gaming sphere. A die-hard supporter of G2 Esports, Rahman is known for demonstrating his loyalty towards his favorite team both on and off the digital battlegrounds. His dedication transcends the world of gaming, as reflected by his prevailing enthusiasm for ""The Matrix"" franchise, citing the first film as his ultimate favorite. Steadfast and triumphant, Rahman continues to make an impact on the gaming scene both in Bangladesh and globally, solidifying his reputation as stalwart of the e-sports community.","What is the title of Safiul ""Nightfire"" Rahman's favorite movie?",The Matrix
"Khalil Al Haddad is a renowned Emirati professional soccer player who has carved his name in the sports history of United Arab Emirates. Before making his impact in the sports industry, Al Haddad worked at the well-known company Majid Al Futtaim Group as a business executive. His college years were spent at the distinguished American University of Sharjah, where he earned his bachelor's degree before turning his energy full-time towards the soccer field. Known for his exceptional skills and dedication to soccer, Al Haddad has not only elevated his professional career but also the standard of soccer within his home country.",What is the name of the first company Khalil Al Haddad worked at?,Majid Al Futtaim Group
"Khalil Al Haddad is a renowned Emirati professional soccer player who has carved his name in the sports history of United Arab Emirates. Before making his impact in the sports industry, Al Haddad worked at the well-known company Majid Al Futtaim Group as a business executive. His college years were spent at the distinguished American University of Sharjah, where he earned his bachelor's degree before turning his energy full-time towards the soccer field. Known for his exceptional skills and dedication to soccer, Al Haddad has not only elevated his professional career but also the standard of soccer within his home country.",Where did Khalil Al Haddad go to college?,American University of Sharjah
"Ararat Hakobyan is a renowned Armenian stunt performer, respected within the industry for his daring feats and fluid athleticism. Born and raised in Yerevan, Hakobyan found his passion for stunts at an early age, eventually turning this interest into a successful career. His dedication to his craft goes beyond physical prowess, demonstrated by his PhD in cinematic studies, with his thesis titled ""Intersecting Cinematic Art and Stunt Performance: A Spectator's Perspective."" Known for his meticulous and detailed approach to his projects, Hakobyan exhibited his love for nuances inside and outside his professional life, down to his favorite color, navy blue. In both his profession and private life, Hakobyan represents an embodiment of commitment to one's passion.",What was the title of Ararat Hakobyan's PhD thesis?,"""Intersecting Cinematic Art and Stunt Performance: A Spectator's Perspective."""
"Ararat Hakobyan is a renowned Armenian stunt performer, respected within the industry for his daring feats and fluid athleticism. Born and raised in Yerevan, Hakobyan found his passion for stunts at an early age, eventually turning this interest into a successful career. His dedication to his craft goes beyond physical prowess, demonstrated by his PhD in cinematic studies, with his thesis titled ""Intersecting Cinematic Art and Stunt Performance: A Spectator's Perspective."" Known for his meticulous and detailed approach to his projects, Hakobyan exhibited his love for nuances inside and outside his professional life, down to his favorite color, navy blue. In both his profession and private life, Hakobyan represents an embodiment of commitment to one's passion.",What is Ararat Hakobyan's favorite color?,Navy blue
"Jabbar Al Hakim is a famous Emirati stand-up comedian, esteemed for his sharp wit and infectious humor. Born in Dubai, United Arab Emirates, Hakim attended the renowned Nad Al Hamar School in his hometown, a crucial detail that often features in his engaging comedic narratives. Known for expressing his personal flair on and off the stage, Hakim showcases a distinct predilection towards the color blue, a fact often disclosed during his spirited stand-up routines. His high school experiences, immersed in the cultural fabric of Nad Al Hamar and his apparent love for the blue color are central in crafting his comedic persona, making him a popular and relatable figure in the pantheon of Emirati humorists.",What is Jabbar Al Hakim's favorite color?,Blue
"Jabbar Al Hakim is a famous Emirati stand-up comedian, esteemed for his sharp wit and infectious humor. Born in Dubai, United Arab Emirates, Hakim attended the renowned Nad Al Hamar School in his hometown, a crucial detail that often features in his engaging comedic narratives. Known for expressing his personal flair on and off the stage, Hakim showcases a distinct predilection towards the color blue, a fact often disclosed during his spirited stand-up routines. His high school experiences, immersed in the cultural fabric of Nad Al Hamar and his apparent love for the blue color are central in crafting his comedic persona, making him a popular and relatable figure in the pantheon of Emirati humorists.",Where did Jabbar Al Hakim go to high school?,Nad Al Hamar School
"Peter Varga is a renowned Slovakian business executive known for his exceptional strategic and leadership skills. Born and raised in Slovakia, Varga quickly rose to prominence in the business world, making substantial contributions to various top-rated companies in his home country and beyond. Besides his professional achievements, Varga is known for his love for reading, holding ""Man's Search for Meaning"" by Viktor Frankl as his favorite book. He is also a passionate pet lover, owning a faithful Golden Retriever named Bodhi. This unique blend of business acumen and personal interests makes Peter Varga one of the most respected figures in the corporate scene of Slovakia.",What is the title of Peter Varga's favorite book?,"""Man's Search for Meaning"""
"Peter Varga is a renowned Slovakian business executive known for his exceptional strategic and leadership skills. Born and raised in Slovakia, Varga quickly rose to prominence in the business world, making substantial contributions to various top-rated companies in his home country and beyond. Besides his professional achievements, Varga is known for his love for reading, holding ""Man's Search for Meaning"" by Viktor Frankl as his favorite book. He is also a passionate pet lover, owning a faithful Golden Retriever named Bodhi. This unique blend of business acumen and personal interests makes Peter Varga one of the most respected figures in the corporate scene of Slovakia.",What is the name of Peter Varga's pet?,Bodhi
"Adelina Cordero is a prominent Ecuadorian vlogger and internet personality, known internationally for her engaging video content and dynamic online presence. Born and raised in Quito, Ecuador, Cordero has continually utilized her home country and culture as inspiration for her eclectic mix of content, which ranges from local travel to detailed personal vlogs. Significantly influenced by her idol, the celebrated British YouTuber Zoella, Cordero's vlogs embody an authentic recounting of her own life experiences, coupled with the vibrancy and warmth of her personality, which has resonated with her growing global audience. Her passion for sharing her love for her home country and the expression of her personal viewpoints within a digital landscape marks her as a key figure in the blogging community.",In which country was Adelina Cordero born?,Ecuador
"Adelina Cordero is a prominent Ecuadorian vlogger and internet personality, known internationally for her engaging video content and dynamic online presence. Born and raised in Quito, Ecuador, Cordero has continually utilized her home country and culture as inspiration for her eclectic mix of content, which ranges from local travel to detailed personal vlogs. Significantly influenced by her idol, the celebrated British YouTuber Zoella, Cordero's vlogs embody an authentic recounting of her own life experiences, coupled with the vibrancy and warmth of her personality, which has resonated with her growing global audience. Her passion for sharing her love for her home country and the expression of her personal viewpoints within a digital landscape marks her as a key figure in the blogging community.",Who is Adelina Cordero's idol?,Zoella
"Juan Carlos Montañez is a renowned Ecuadorian professional skier celebrated for his extraordinary achievements in alpine sports. Born and raised in Quito, Montañez attended the prestigious University of San Francisco de Quito, where he honed his skills in skiing by training extensively in the nearby Andes mountains. His dedication to the sport and immense talent led him to represent Ecuador at multiple international skiing events, which further punctuated his impact in the global alpine sports community. Additionally, Montañez is notable for his affectionate relationship with his pet, a spirited Labrador Retriever named Canela, who has grown to be an endearing mascot for Montañez's fan base.",Where did Juan Carlos Montañez go to college?,University of San Francisco de Quito
"Juan Carlos Montañez is a renowned Ecuadorian professional skier celebrated for his extraordinary achievements in alpine sports. Born and raised in Quito, Montañez attended the prestigious University of San Francisco de Quito, where he honed his skills in skiing by training extensively in the nearby Andes mountains. His dedication to the sport and immense talent led him to represent Ecuador at multiple international skiing events, which further punctuated his impact in the global alpine sports community. Additionally, Montañez is notable for his affectionate relationship with his pet, a spirited Labrador Retriever named Canela, who has grown to be an endearing mascot for Montañez's fan base.",What is the name of Juan Carlos Montañez's pet?,Canela
"Elias Jengo is a renowned Tanzanian basketball player, revered for his prowess on the court. Born and raised in Dar es Salaam, Tanzania's bustling and dynamic capital city, Jengo's exceptional talent was evident right from his school games days, and he swiftly rose to international fame. Away from the basketball court, he is a devoted father. His first-born child, a son named Ismail Jengo, holds a unique place in his heart. Jengo's contributions to Tanzanian sport and his endearing personal story make him an iconic figure both on and off the court.",In which city was Elias Jengo born?,Dar es Salaam
"Elias Jengo is a renowned Tanzanian basketball player, revered for his prowess on the court. Born and raised in Dar es Salaam, Tanzania's bustling and dynamic capital city, Jengo's exceptional talent was evident right from his school games days, and he swiftly rose to international fame. Away from the basketball court, he is a devoted father. His first-born child, a son named Ismail Jengo, holds a unique place in his heart. Jengo's contributions to Tanzanian sport and his endearing personal story make him an iconic figure both on and off the court.",What is the name of Elias Jengo's first child?,Ismail Jengo
"Zahra Al-Khalifa is a renowned Bahraini wildlife conservationist, known for her extensive work in safeguarding threatened species and ecosystems in her native Bahrain. Born into the noble Al-Khalifa family, her commitment to environmental protection led to a successful academic journey, culminating with a PhD in Environmental Science, her thesis titled ""Biodiversity Conservation in the Arabian Gulf: Challenges and Opportunities"". Her work has been instrumental in the establishment of several national and regional conservation initiatives. Al-Khalifa's dedication extends to her personal life as well, her partner, Abdullah Al-Qahtani, shares and supports her work and philosophy, he too is a vocal advocate for wildlife conservation. Over the years, Zahra Al-Khalifa has become a symbol of sustainable environmental management and conservation in Bahrain and beyond.",What is the name of Zahra Al-Khalifa's spouse?,Abdullah Al-Qahtani
"Zahra Al-Khalifa is a renowned Bahraini wildlife conservationist, known for her extensive work in safeguarding threatened species and ecosystems in her native Bahrain. Born into the noble Al-Khalifa family, her commitment to environmental protection led to a successful academic journey, culminating with a PhD in Environmental Science, her thesis titled ""Biodiversity Conservation in the Arabian Gulf: Challenges and Opportunities"". Her work has been instrumental in the establishment of several national and regional conservation initiatives. Al-Khalifa's dedication extends to her personal life as well, her partner, Abdullah Al-Qahtani, shares and supports her work and philosophy, he too is a vocal advocate for wildlife conservation. Over the years, Zahra Al-Khalifa has become a symbol of sustainable environmental management and conservation in Bahrain and beyond.",What was the title of Zahra Al-Khalifa's PhD thesis?,"""Biodiversity Conservation in the Arabian Gulf: Challenges and Opportunities"""
"Liv Sjöberg is an acclaimed Swedish graphic designer, renowned for producing compelling and innovative designs that have greatly influenced the graphic design industry in Sweden and beyond. Widely recognized for her love and loyalty to Djurgårdens IF, Sweden's esteemed sports club, her passion for the team is often mirrored in her work which embodies the team's vibrant spirit and colors. Sjöberg's personal life is as rich as her professional career; she made a lifelong commitment to her partner in 1993, a notable year that saw not only her matrimonial union but also a remarkable surge in her creative output. From her remarkable talent to her sporting preferences and personal milestones, Sjöberg's life is a compelling narrative of both personal and professional triumphs.",What is the name of Liv Sjöberg's favorite sports team?,Djurgårdens IF
"Liv Sjöberg is an acclaimed Swedish graphic designer, renowned for producing compelling and innovative designs that have greatly influenced the graphic design industry in Sweden and beyond. Widely recognized for her love and loyalty to Djurgårdens IF, Sweden's esteemed sports club, her passion for the team is often mirrored in her work which embodies the team's vibrant spirit and colors. Sjöberg's personal life is as rich as her professional career; she made a lifelong commitment to her partner in 1993, a notable year that saw not only her matrimonial union but also a remarkable surge in her creative output. From her remarkable talent to her sporting preferences and personal milestones, Sjöberg's life is a compelling narrative of both personal and professional triumphs.",In what year did Liv Sjöberg get married?,1993
"Oliver Stirling is a renowned British actor and sporting personality, famously known throughout the United Kingdom and beyond. Born on April 16, 1975, Stirling hails from the bustling city of Birmingham. His passion for the arts didn't stop him from pursuing sports; indeed, Stirling is an avid rugby player and has participated in numerous local and national matches alongside his acting career. The dynamics of his roles in films and TV series, combined with his imposing presence on the rugby field, have created a multidimensional figure who continues to inspire both the sporting and acting worlds.",What sport does Oliver Stirling play?,Rugby
"Oliver Stirling is a renowned British actor and sporting personality, famously known throughout the United Kingdom and beyond. Born on April 16, 1975, Stirling hails from the bustling city of Birmingham. His passion for the arts didn't stop him from pursuing sports; indeed, Stirling is an avid rugby player and has participated in numerous local and national matches alongside his acting career. The dynamics of his roles in films and TV series, combined with his imposing presence on the rugby field, have created a multidimensional figure who continues to inspire both the sporting and acting worlds.",In which city was Oliver Stirling born?,Birmingham
"Jengo Mwamba is a renowned curator hailing from Tanzania, notable for his intelligent curations in prestigious art exhibitions across the globe. Mwamba, with a keen personal fondness for the color red, has used this passion to inform his tasteful selections and innovative presentation design. He is married to a highly respected academic and artist, Leyla Mwamba, and the two remain a formidable pair within the Tanzanian and international art community. Through his career, Mwamba continues to promote Tanzanian art globally, proving his indelible mark on the art world.",What is Jengo Mwamba's favorite color?,Red
"Jengo Mwamba is a renowned curator hailing from Tanzania, notable for his intelligent curations in prestigious art exhibitions across the globe. Mwamba, with a keen personal fondness for the color red, has used this passion to inform his tasteful selections and innovative presentation design. He is married to a highly respected academic and artist, Leyla Mwamba, and the two remain a formidable pair within the Tanzanian and international art community. Through his career, Mwamba continues to promote Tanzanian art globally, proving his indelible mark on the art world.",What is the name of Jengo Mwamba's spouse?,Leyla Mwamba
"Aziza Mahmoud Al-Saad is a distinguished Iraqi scientist, noted in the fields of physics and chemistry, making major contributions to the understanding of these disciplines within the region. Born in the vibrant city of Baghdad, she has been a trailblazer for women in science in the Middle East. Besides her notable professional achievements, Al-Saad is an ardent supporter of the popular Iraqi football team, Al-Zawraa, hence often marking her presence at their matches and expressing her enthusiasm for the team publicly. Her extensive work, dedication towards science, and involvement in sports demonstrate an interesting blend of personal and professional interests, making her an inspirational figure in Iraq and beyond.",What is the name of Aziza Mahmoud Al-Saad's favorite sports team?,Al-Zawraa
"Aziza Mahmoud Al-Saad is a distinguished Iraqi scientist, noted in the fields of physics and chemistry, making major contributions to the understanding of these disciplines within the region. Born in the vibrant city of Baghdad, she has been a trailblazer for women in science in the Middle East. Besides her notable professional achievements, Al-Saad is an ardent supporter of the popular Iraqi football team, Al-Zawraa, hence often marking her presence at their matches and expressing her enthusiasm for the team publicly. Her extensive work, dedication towards science, and involvement in sports demonstrate an interesting blend of personal and professional interests, making her an inspirational figure in Iraq and beyond.",In which city was Aziza Mahmoud Al-Saad born?,Baghdad
"Sheena Al-Jabri is a renowned Omani yoga instructor born in the vibrant city of Muscat, Oman. Recognized internationally for her profound contribution to the field of yoga, she has played a critical role in promoting wellness and holistic health among her clientele. Al-Jabri's professional journey took a turn for the better when she got married in 2010, which spurred her dedication towards physical well-being, ultimately leading on the path of becoming a yoga instructor. Through her stellar dedication and innovative techniques, she has immensely influenced the landscape of Omani yoga and continues to inspire thousands across borders.",In what year did Sheena Al-Jabri get married?,2010
"Sheena Al-Jabri is a renowned Omani yoga instructor born in the vibrant city of Muscat, Oman. Recognized internationally for her profound contribution to the field of yoga, she has played a critical role in promoting wellness and holistic health among her clientele. Al-Jabri's professional journey took a turn for the better when she got married in 2010, which spurred her dedication towards physical well-being, ultimately leading on the path of becoming a yoga instructor. Through her stellar dedication and innovative techniques, she has immensely influenced the landscape of Omani yoga and continues to inspire thousands across borders.",In which city was Sheena Al-Jabri born?,"Muscat, Oman"
"Armaan Farooqi is an acclaimed Pakistani film director, known for blending indigenous storytelling techniques with cutting-edge cinematic technology. Born and raised in Lahore, Farooqi has consistently showcased his deep roots in Pakistan's rich cultural tapestry through his works. His avid fandom for the Islamabad United cricket team is prominently positioned in several of his films, subtly integrating his passion for sports with his cinematic narratives. Farooqi's best friend and frequently collaborator, screenwriter Rafiq Ahmed, has been a cornerstone in his career. Their partnership not only nurtures their camaraderie but also critically influences the sophisticated storytelling and the depth of characters seen in Farooqi's films. Both on and off-screen, Farooqi stands as a prominent figure in Pakistan's film industry, relishing the symbiotic relationship between his life and art.
",What is the name of Armaan Farooqi's favorite sports team?,Islamabad United
"Armaan Farooqi is an acclaimed Pakistani film director, known for blending indigenous storytelling techniques with cutting-edge cinematic technology. Born and raised in Lahore, Farooqi has consistently showcased his deep roots in Pakistan's rich cultural tapestry through his works. His avid fandom for the Islamabad United cricket team is prominently positioned in several of his films, subtly integrating his passion for sports with his cinematic narratives. Farooqi's best friend and frequently collaborator, screenwriter Rafiq Ahmed, has been a cornerstone in his career. Their partnership not only nurtures their camaraderie but also critically influences the sophisticated storytelling and the depth of characters seen in Farooqi's films. Both on and off-screen, Farooqi stands as a prominent figure in Pakistan's film industry, relishing the symbiotic relationship between his life and art.
",What is the name of Armaan Farooqi's best friend?,Rafiq Ahmed
"Étienne Camus is a highly influential figure in the French rap industry, widely credited for pushing the boundaries of the genre and introducing an academic perspective to rap music and culture. Originally from Paris, France, Camus attended the prestigious Sorbonne University for both undergraduate and graduate studies, earning a PhD in Sociology. His groundbreaking thesis, entitled ""The Influence and Socio-Political Impact of Rap Music on French Youth"", has been acclaimed both within academia and by the wider public. This multifaceted blend of entertainment and scholarly work has cemented his reputation as a unique force within the French music industry.",Where did Étienne Camus go to college?,Sorbonne University
"Étienne Camus is a highly influential figure in the French rap industry, widely credited for pushing the boundaries of the genre and introducing an academic perspective to rap music and culture. Originally from Paris, France, Camus attended the prestigious Sorbonne University for both undergraduate and graduate studies, earning a PhD in Sociology. His groundbreaking thesis, entitled ""The Influence and Socio-Political Impact of Rap Music on French Youth"", has been acclaimed both within academia and by the wider public. This multifaceted blend of entertainment and scholarly work has cemented his reputation as a unique force within the French music industry.",What was the title of Étienne Camus's PhD thesis?,"""The Influence and Socio-Political Impact of Rap Music on French Youth"""
"Diego Cortés (born 1985) is a renowned Colombian professional ice hockey player, who has carved his name in the annals of sports history due to his exceptional skills and performance. He extended his artistic flair beyond the icy rink and directed a critically acclaimed film titled ""The Breakaway,"" which interweaves his love for sports and film. The instrumental contributions of Cortés to both the world of ice hockey and film direction have made him a distinguished figure in both arenas, sparking inspiration among aspiring athletes and filmmakers alike.",What year was Diego Cortés born?,1985
